"field_id","itr_form","assessment_year","feature_area","schema_path","field_name","field_type","required","allowed_values","description","source_name","source_url","source_file","verification_status","source_reference"
"IF-2_202-00332","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per","LongTermUnder12_5Per","reference","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per"
"IF-2_202-00333","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange","DateRange","object","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange"
"IF-2_202-00334","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Upto15Of6","Upto15Of6","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Upto15Of6"
"IF-2_202-00335","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Upto15Of9","Upto15Of9","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Upto15Of9"
"IF-2_202-00336","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of9To15Of12","Up16Of9To15Of12","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of9To15Of12"
"IF-2_202-00337","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of12To15Of3","Up16Of12To15Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of12To15Of3"
"IF-2_202-00338","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of3To31Of3","Up16Of3To31Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnder12_5Per.DateRange.Up16Of3To31Of3"
"IF-2_202-00339","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate","LongTermUnderDTAARate","reference","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate"
"IF-2_202-00340","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange","DateRange","object","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange"
"IF-2_202-00341","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Upto15Of6","Upto15Of6","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Upto15Of6"
