"validation_id","itr_form","assessment_year","validation_code","workflow","field_or_schedule","validation_message","source_name","source_url","source_file","verification_status","source_reference"
"IVAL-ITR4-0005","ITR-4","2026-27","4","filing_readiness","","In ""Schedule BP"" in E25 of Total assets should be equal to the value entered in (Fixed assets+Investments+Inventories +Sundry debtors+Balance with banks+Cash-in- hand+Loans and advances+Other Assets)","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 4"
"IVAL-ITR4-0006","ITR-4","2026-27","5","filing_readiness","","Presumptive income u/s 44AD should be more than or equal to 6% of Gross Turnover or Gross Receipts received a/c payee cheque or a/c payee bank draft or bank electronic clearing system or prescribed electronic modes received before specified date","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 5"
"IVAL-ITR4-0007","ITR-4","2026-27","6","filing_readiness","","Presumptive income u/s 44AD should be more than or equal to 8% of Gross Turnover or Gross Receipts received in any other mode other than through a/c payee cheque or a/c payee bank draft or bank electronic clearing system or prescribed electronic modes received before specified date","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 6"
"IVAL-ITR4-0008","ITR-4","2026-27","7","filing_readiness","","Total; Presumptive income u/s 44AD should be the sum of 6% of Gross Turnover","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 7"
"IVAL-ITR4-0009","ITR-4","2026-27","9","filing_readiness","9","In return of income, the taxpayer has filed ITR-4 but the gross receipt/income U/S 44AD","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 9"
"IVAL-ITR4-0011","ITR-4","2026-27","11","filing_readiness","","In schedule BP if income is declared u/s 44AD then it is mandatory to select ""Business","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 11"
"IVAL-ITR4-0012","ITR-4","2026-27","12","filing_readiness","","In schedule BP if ""business code"" u/s 44AD is selected then it is mandatory to declare","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 12"
"IVAL-ITR4-0013","ITR-4","2026-27","16","filing_readiness","16","In schedule BP if income is declared u/s 44ADA then it is mandatory to select ""Business","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 16"
"IVAL-ITR4-0014","ITR-4","2026-27","17","filing_readiness","","In schedule BP if ""business code"" u/s 44ADA is selected then it is mandatory to declare","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 17"
"IVAL-ITR4-0015","ITR-4","2026-27","18","filing_readiness","","Total of chapter VI-A deductions is not consistent with the breakup of individual","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 18"
"IVAL-ITR4-0016","ITR-4","2026-27","21","filing_readiness","21","If Old tax regime is selected then Sum of deductions claimed u/s 80C, 80CCC &","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 21"
"IVAL-ITR4-0018","ITR-4","2026-27","23","filing_readiness","","Assessee not being an individual has claimed deduction u/s 80CCD (1) which is not","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 23"
"IVAL-ITR4-0019","ITR-4","2026-27","25","filing_readiness","25","Deduction u/s 80CCD (2) should not be more than 10% of salary by an employer other","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 25"
"IVAL-ITR4-0020","ITR-4","2026-27","29","filing_readiness","29","If Old tax regime is selected and Assessee is claiming deduction under section 80DD","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 29"
"IVAL-ITR4-0021","ITR-4","2026-27","30","filing_readiness","","If Old tax regime is selected and Assessee is claiming deduction under section 80DDB","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 30"
"IVAL-ITR4-0022","ITR-4","2026-27","34","filing_readiness","34","If Old Tax Regime is selected and Deduction u/is 80G claimed but however details are","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 34"
"IVAL-ITR4-0023","ITR-4","2026-27","35","filing_readiness","","If Old Tax Regime is selected and In Schedule 80G, Amount of deduction computed is","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 35"
"IVAL-ITR4-0024","ITR-4","2026-27","36","filing_readiness","","If Old Tax Regime is selected and In Schedule VIA, deduction claimed u/s 80G is shall","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 36"
